Time,Resistance
10101,44314.78
10212,44316.98
10323,44318.2
10434,44318.94
10545,44319.9
10656,44321.12
10767,44322.1
10878,44329.4
10989,44375.46
11100,44422.74
11211,44453.44
11322,44459.78
11433,44426.64
11544,44335.98
11655,44313.56
11766,44316.74
11877,44317.72
11988,44319.42
12099,44320.88
12210,44321.86
12321,44321.62
12432,44321.86
12543,44323.56
12654,44351.58
12765,44394.22
12876,44430.78
12987,44449.54
13098,44435.9
13209,44369.62
13320,44313.08
13431,44316.74
13542,44319.18
13653,44321.12
13764,44322.82
13875,44323.8
13986,44324.54
14097,44325.26
14208,44326.24
14319,44337.2
14430,44375.7
14541,44413.96
14652,44438.58
14763,44440.04
14874,44399.1
14985,44322.34
15096,44313.82
15207,44316.98
15318,44318.94
15429,44320.64
15540,44321.86
15651,44323.08
15762,44322.82
15873,44324.04
15984,44328.18
16095,44357.2
16206,44395.2
16317,44428.1
16428,44437.12
16539,44412.02
16650,44337.44
16761,44313.82
16872,44317.72
16983,44319.18
17094,44321.38
17205,44322.82
17316,44324.04
17427,44324.54
17538,44325.5
17649,44326.98
17760,44347.68
17871,44382.28
17982,44416.16
18093,44433.94
18204,44422.98
18315,44363.52
18426,44312.6
18537,44315.76
18648,44318.7
18759,44320.64
18870,44321.86
18981,44322.82
19092,44324.04
19203,44325.26
19314,44326
19425,44335.98
19536,44367.9
19647,44401.3
19758,44427.36
19869,44429.32
19980,44392.04
20091,44322.58
20202,44315.52
20313,44318.94
20424,44320.88
20535,44322.82
20646,44324.04
20757,44325.5
20868,44326.48
20979,44327.94
21090,44330.64
21201,44354.26
21312,44386.18
21423,44417.38
21534,44432.96
21645,44417.62
21756,44354.5
21867,44316.74
21978,44319.9
22089,44322.58
22200,44325.26
22311,44326.72
22422,44327.46
22533,44329.16
22644,44329.66
22755,44330.64
22866,44344.52
22977,44372.54
23088,44405.44
23199,44429.32
23310,44429.06
23421,44385.94
23532,44322.34
23643,44320.64
23754,44324.04
23865,44326.98
23976,44328.68
24087,44331.36
24198,44332.82
24309,44333.32
24420,44334.76
24531,44338.92
24642,44362.54
24753,44393.98
24864,44426.64
24975,44432.72
25086,44410.3
25197,44342.32
25308,44324.04
25419,44327.46
25530,44330.14
25641,44332.08
25752,44333.8
25863,44336.48
25974,44337.2
26085,44337.2
26196,44338.42
26307,44356.94
26418,44385.94
26529,44419.32
26640,44433.7
26751,44420.78
26862,44364
26973,44326.48
27084,44330.88
27195,44334.04
27306,44336.48
27417,44337.7
27528,44339.16
27639,44341.1
27750,44342.32
27861,44343.78
27972,44355.96
28083,44382.28
28194,44416.88
28305,44436.14
28416,44432.48
28527,44386.42
28638,44331.6
28749,44334.28
28860,44337.7
28971,44340.86
29082,44343.06
29193,44345
29304,44346.7
29415,44348.42
29526,44350.12
29637,44357.2
29748,44381.56
29859,44414.2
29970,44439.54
30081,44442.22
30192,44415.18
30303,44351.34
30414,44342.56
30525,44346.96
30636,44349.14
30747,44351.58
30858,44353.28
30969,44354.76
31080,44355.72
31191,44356.7
31302,44359.86
31413,44378.14
31524,44406.16
31635,44435.4
31746,44450.02
31857,44441
31968,44389.36
32079,44346.96
32190,44350.86
32301,44354.76
32412,44357.44
32523,44359.14
32634,44361.32
32745,44362.8
32856,44364.26
32967,44365.48
33078,44374.74
33189,44397.14
33300,44427.86
33411,44452.22
33522,44454.9
33633,44423.7
33744,44363.04
33855,44356.7
33966,44361.58
34077,44364.74
34188,44366.44
34299,44368.16
34410,44370.34
34521,44372.06
34632,44373.26
34743,44376.68
34854,44395.2
34965,44424.2
35076,44453.92
35187,44463.42
35298,44447.58
35409,44389.6
35520,44364.26
35631,44369.14
35742,44372.06
35853,44374.98
35964,44377.66
36075,44380.34
36186,44381.56
36297,44384.72
36408,44386.18
36519,44400.08
36630,44424.92
36741,44459.04
36852,44474.64
36963,44469.76
37074,44420.54
37185,44376.2
37296,44380.82
37407,44384.72
37518,44387.4
37629,44389.36
37740,44391.78
37851,44393.98
37962,44394.96
38073,44395.94
